#cell        type      caraway         kiwi
855             2          626          148
856             1         6245         1388
857             1         1790         3023
858             1         1970         1088
859             2          526          194
860             0           20         2058
861             2          866          644
862             1         1307         1115
863             0           32         1034
864             1         1042         1407
865             1         4431         1101
866             2          141          234
867             2          164          152
868             2          435          522
869             2          158          150
870             2          338          505
871             4         2093           26
872             4         1993           21
873             1          481         2357
874             1         3104         3281
875             2          374          427
876             2          122          116
877             2          196          152
878             2          356          477
879             0           23         1102
880             4         3005           24
881             4         1274           21
882             2          374          119
883             1         1760         2227
884             1         1755         1376
885             4         1063           12
886             2           85          501
887             3           15           49
888             3           13           71
889             1         3788         4283
890             0           29         2345
891             1         2852          637
892             2          457          544
893             1         1673         2243
894             4          941           39
895             0           44         2108
896             3           56           22
897             3           21           31
898             2          682          383
899             1         2485         2544
900             2         1165          496
901             1         1458         1115
902             2          182           45
903             3           36           48
904             2          253          212
905             3           14           62
906             2          203          312
907             1          947          470
908             1         3860         1960
909             2          153          373
910             1         2531         2397
911             2          450          191
912             4          993           35
913             3           37           44
914             2          337          292
915             2          289          327
916             3           23            6
917             2           98         1123
918             3           30           35
919             1          719         4103
920             2          219           74
921             2          203          396
922             2          379          420
923             1         1978         1385
924             2          196          608
925             4         2296           22
926             4         1313           16
927             2          802          231
928             0           36         1399
929             2          266          230
930             2          489          649
931             2          142          116
932             3            6           20
933             0           20          813
934             4          520           20
935             2          320          360
936             2          569          123
937             0           34         1226
938             2          657          292
939             0            9         5669
940             3           48           23
941             0           40          415
942             3           26           34
943             1         1730         1800
944             2          202          313
945             3           49           23
946             2          352          341
947             3           12           27
948             2          170          325
949             3           26           21
950             2          386           96
951             3           16           32
952             2          333          346
953             2          347          306
954             3           26           39
955             0           29         1776
956             2          468          337
957             2           73          413
958             3           13           38
959             1          727          937
960             2          183          561
961             2          241          444
962             4         1576           14
963             1          781         2991
964             2          223          339
965             0           24         2057
966             1         1129         1071
967             2          234          377
968             2          452          604
969             2          187          317
970             0            9         1995
971             3           21           32
972             3           11           15
973             4         1120           35
974             3           17           23
975             2          254          176
976             2          185          139
977             4         1932           15
978             3           15           11
979             4          753           18
980             2          244          285
981             2          215          436
982             4         2718           33
983             0           17         4373
984             1         1774         2743
985             1          983         4299
986             4         1367            7
987             2          453          389
988             2          302          164
989             2           90          105
990             3           53           31
991             2          622          114
992             2          164          328
993             2          345          570
994             2          447           84
995             2          496          295
996             2          250          248
997             2           20          320
998             3           12           28
999             0           22         1240
