#gene	sample1	sample2	sample3
CELA2A	3783	3571	4510
CELA2B	5834	3427	5045
CASP9	4153	3308	1876
DNAJC16	3070	3583	2740
AGMAT	1965	1567	1472
DDI2	1834	2273	1625
RSC1A1	1425	2474	2248
PLEKHM2	101	107	68
SLC25A34	7331	6433	6869
TMEM82	1219	1044	1573
FBLIM1	1098	1264	1506
UQCRHL	1915	3146	2931
SPEN	570	859	2146
ZBTB17	1231	1352	979
C1orf64	3071	2001	3632
HSPB7	177	272	143
CLCNKA	488	2711	2424
CLCNKB	2659	2978	4820
FAM131C	3318	1768	2923
EPHA2	9075	3834	8871
ARHGEF19	2013	1348	2459
RSG1	15490	8628	7416
FBXO42	1698	1070	1029
SZRD1	4289	2480	4550
SPATA21	1025	2017	1103
NECAP2	1912	2630	1689
FAM231B	238	200	161
NBPF1	386	565	269
FAM231A	2482	2809	2266
FAM231C	230	148	260
CROCC	6194	7305	10128
MFAP2	4669	4893	2548
ATP13A2	2742	2886	2677
SDHB	4575	10831	6810
PADI2	2085	3236	1623
PADI1	1253	3320	1818
PADI3	942	381	605
PADI4	243	427	670
AC004824.1	3430	4292	2764
PADI6	20	7	11
RCC2	1163	1853	3612
ARHGEF10L	35	49	79
ACTL8	12314	3340	7066
IGSF21	4193	2386	4358
KLHDC7A	1603	4916	2848
PAX7	320	589	293
TAS1R2	2644	733	605
RP13-279N23.2	820	880	750
ALDH4A1	433	463	406
IFFO2	3378	2188	2731
UBR4	4123	6668	5765
EMC1	4235	10763	4361
MRTO4	1275	799	1371
AKR7A3	1596	2045	876
AKR7A2	2556	905	1283
PQLC2	2139	1131	494
CAPZB	409	212	791
MINOS1	1980	2989	1762
MINOS1-NBL1	656	1534	1058
NBL1	221	885	736
HTR6	563	300	441
TMCO4	1309	1126	1017
RNF186	508	873	1346
OTUD3	1336	2440	1679
PLA2G2E	2109	1718	3047
PLA2G2A	9349	4592	17124
PLA2G5	1239	1518	771
PLA2G2D	5522	8265	3260
PLA2G2F	1834	4555	3200
PLA2G2C	38	31	37
UBXN10	6904	4551	3776
VWA5B1	5432	6413	6027
CAMK2N1	181	321	157
MUL1	1766	1514	2984
FAM43B	313	1155	890
CDA	4795	3197	3246
PINK1	1238	2117	3326
DDOST	1412	2453	805
KIF17	5279	3960	8372
SH2D5	1508	2772	6098
HP1BP3	3624	2710	2705
EIF4G3	2588	1464	1044
ECE1	2088	3137	3705
NBPF3	22	19	18
ALPL	2582	1610	2494
RAP1GAP	50	65	57
USP48	4361	3800	3665
LDLRAD2	9863	3173	8826
HSPG2	5310	2374	3090
CELA3B	1019	382	846
CELA3A	12411	11809	6312
CDC42	3749	4811	1626
WNT4	7952	4931	6848
ZBTB40	1285	616	484
EPHA8	441	378	412
C1QA	4180	1668	1384
C1QC	8116	7944	10691
C1QB	539	572	488
EPHB2	695	360	1019
LACTBL1	7521	4396	5696
C1orf234	661	105	347
KDM1A	3743	8206	6975
LUZP1	8581	6069	7690
HTR1D	2554	2126	3770
HNRNPR	1117	2746	1557
ZNF436	405	222	521
TCEA3	3947	2591	4898
ASAP3	253	70	286
E2F2	3176	4198	13399
ID3	355	270	437
MDS2	2978	3119	2846
RPL11	1859	1496	2684
TCEB3	929	1071	1491
PITHD1	5201	4516	2588
LYPLA2	2367	3132	996
GALE	4017	7800	2941
HMGCL	4901	3961	8032
FUCA1	2774	4858	4993
CNR2	1128	938	2274
PNRC2	335	430	352
SRSF10	3553	3153	4411
MYOM3	2601	836	2650
IL22RA1	2303	5232	2368
IFNLR1	1336	779	1586
GRHL3	2468	1866	2826
STPG1	13	19	8
NIPAL3	928	1347	1747
RCAN3	736	790	950
NCMAP	311	612	965
SRRM1	206	634	556
CLIC4	566	872	442
RUNX3	4738	5604	4413
SYF2	6597	6915	6778
RSRP1	496	528	837
RHD	125	298	148
TMEM50A	2140	1655	1838
RHCE	6916	3871	5165
TMEM57	2077	1689	3753
LDLRAP1	6921	8337	2918
MAN1C1	1713	785	585
SEPN1	938	1697	1503
RP1-317E23.6	2028	2459	4672
MTFR1L	657	472	479
AUNIP	522	313	303
PAQR7	3832	3963	4444
STMN1	4992	3041	5407
PAFAH2	1476	1186	763
EXTL1	19825	13412	14701
SLC30A2	5879	3210	5014
TRIM63	5112	6564	5548
PDIK1L	392	1490	954
FAM110D	1197	622	1736
RP11-96L14.8	10099	3820	3087
RP11-96L14.7	129	247	79
ZNF593	1804	1499	1914
CNKSR1	1643	4348	4105
CATSPER4	3782	4723	4126
CEP85	191	85	122
SH3BGRL3	4319	3191	4700
UBXN11	11373	4797	12538
CD52	2263	1844	1694
AIM1L	467	439	541
ZNF683	587	1110	2118
LIN28A	1879	518	964
DHDDS	397	382	299
HMGN2	825	1042	1147
RPS6KA1	2958	1117	1817
ARID1A	3159	1678	3860
PIGV	159	304	131
ZDHHC18	60	97	63
SFN	80	75	26
GPN2	6525	3378	7586
GPATCH3	4809	5026	4437
NUDC	2698	5687	6291
NR0B2	4747	3524	2186
KDF1	9662	12146	14866
TRNP1	2940	6683	4969
FAM46B	223	212	339
AL137860.1	2567	2546	1930
SLC9A1	4172	3499	2861
WDTC1	2692	1499	3049
TMEM222	6683	7939	8935
SYTL1	1029	2256	483
MAP3K6	2	5	6
FCN3	2106	2811	2334
CD164L2	888	1285	683
GPR3	3799	3857	6406
WASF2	3604	7703	4983
AHDC1	43	63	35
FGR	379	664	541
IFI6	742	466	492
FAM76A	299	955	394
STX12	29	32	47
PPP1R8	2158	2514	1631
AL109927.1	103	67	26
THEMIS2	744	492	507
RPA2	439	1499	1927
SMPDL3B	5261	1717	7489
XKR8	1282	1485	1328
EYA3	24	30	47
PTAFR	1333	1926	4483
DNAJC8	4883	4381	4401
ATPIF1	670	1642	1801
SESN2	3751	2541	2383
MED18	700	1054	475
PHACTR4	714	523	774
RCC1	89	65	145
TRNAU1AP	1854	1502	1259
TAF12	2269	1492	689
RAB42	4246	8170	6108
GMEB1	2379	2701	3550
YTHDF2	2002	1546	1173
OPRD1	1041	237	858
EPB41	6172	9864	7017
TMEM200B	3	10	5
SRSF4	3186	1841	3514
MECR	5546	5377	7798
PTPRU	327	449	379
MATN1	323	490	583
LAPTM5	1118	858	1107
SDC3	1868	3306	2418
PUM1	2897	1035	3393
NKAIN1	8010	9748	9660
SNRNP40	575	296	342
ZCCHC17	2885	3621	2457
FABP3	8923	2857	8445
SERINC2	10210	4215	3647
TINAGL1	1984	3072	3075
HCRTR1	4137	6743	6609
PEF1	505	315	620
COL16A1	1448	2331	703
ADGRB2	2538	5783	5333
SPOCD1	2215	2648	1523
PTP4A2	3356	3451	1665
KHDRBS1	1462	1441	1893
TMEM39B	2550	1181	3267
KPNA6	1390	1768	1119
TXLNA	2248	2472	2278
CCDC28B	331	130	159
IQCC	1839	1813	2324
DCDC2B	2507	2023	3503
TMEM234	1058	2261	1402
EIF3I	152	102	212
FAM167B	636	600	557
LCK	3801	2504	4318
HDAC1	508	872	952
MARCKSL1	4768	2507	4345
TSSK3	4661	5764	4643
FAM229A	4030	2436	1781
BSDC1	4623	6284	8707
RP1-27O5.3	3114	965	1625
ZBTB8B	671	1747	1324
ZBTB8A	2544	1437	3186
ZBTB8OS	2223	3703	4084
RBBP4	222	266	346
SYNC	5367	2976	3767
KIAA1522	301	773	1613
YARS	1168	709	619
S100PBP	96	38	21
FNDC5	395	146	267
HPCA	971	693	634
TMEM54	190	568	337
RNF19B	2706	2041	895
AK2	6153	6060	3420
AZIN2	3201	1773	4846
TRIM62	763	1349	574
ZNF362	1376	390	1520
A3GALT2	91	189	951
PHC2	1511	1323	1357
ZSCAN20	2439	1615	1145
CSMD2	1449	2622	2798
HMGB4	112	48	103
C1orf94	4680	4009	2100
SMIM12	1720	2123	1273
GJB5	120	90	212
GJB4	1038	901	1630
GJB3	1099	809	1081
GJA4	1403	1958	1352
DLGAP3	2690	1414	3263
RP11-244H3.4	149	79	117
TMEM35B	20609	19299	11008
ZMYM6	5744	2936	3710
ZMYM1	1310	763	490
SFPQ	4132	4532	4080
ZMYM4	233	773	639
KIAA0319L	5328	7749	4127
NCDN	7923	5987	12378
TFAP2E	81	117	237
PSMB2	466	279	101
C1orf216	2457	2583	2235
CLSPN	502	2162	1480
AGO4	11156	5572	6859
AGO1	984	543	359
AGO3	845	942	986
TEKT2	911	1979	1844
ADPRHL2	8802	6319	3747
COL8A2	65	245	178
TRAPPC3	2035	2784	1258
MAP7D1	4620	8393	4195
THRAP3	1263	1178	1475
SH3D21	535	631	269
EVA1B	1282	1610	1525
STK40	4189	7860	5454
LSM10	1237	1764	1590
OSCP1	74	43	32
MRPS15	4762	6299	17950
CSF3R	4336	4371	6140
GRIK3	1143	2039	420
ZC3H12A	4069	3050	4729
MEAF6	484	533	481
SNIP1	1938	2400	2255
DNALI1	2231	1889	3415
GNL2	1302	1224	1129
RSPO1	348	751	494
C1orf109	1704	3522	2528
CDCA8	3603	2757	4267
EPHA10	509	690	116
MANEAL	36	121	154
YRDC	1886	658	1671
C1orf122	3244	5615	7700
MTF1	1570	2103	2340
INPP5B	231	372	149
SF3A3	1448	1266	1490
FHL3	3857	4816	4289
UTP11	1143	1352	1067
POU3F1	3163	2159	5642
RRAGC	3368	4669	5296
MYCBP	4636	4065	3201
RP5-864K19.6	1329	1005	1557
GJA9	18060	10488	9520
RHBDL2	120	74	85
AKIRIN1	14747	15420	21573
NDUFS5	396	484	533
MACF1	298	376	332
BMP8A	2642	1137	963
PABPC4	3828	9576	10879
HEYL	711	719	811
NT5C1A	1144	1190	1911
HPCAL4	4020	2971	4297
PPIE	1333	1207	1026
BMP8B	38	31	31
OXCT2	3936	12154	8097
TRIT1	7112	5220	2901
MYCL	999	543	704
MFSD2A	1142	1371	1197
CAP1	3470	3922	4936
PPT1	987	833	1702
RLF	1392	610	469
TMCO2	5915	3014	9811
ZMPSTE24	5272	3133	3817
COL9A2	1110	923	1959
SMAP2	6029	3316	2092
ZFP69B	236	166	551
ZFP69	2609	1171	4449
EXO5	8352	7980	6917
ZNF684	8756	5919	10632
RIMS3	4621	10297	5436
NFYC	344	911	2286
KCNQ4	640	405	630
CITED4	894	3946	1123
CTPS1	2998	1988	5468
SLFNL1	68	91	60
SCMH1	247	243	245
FOXO6	2444	2036	1211
EDN2	657	698	576
HIVEP3	5123	7797	4051
GUCA2B	862	1139	1175
GUCA2A	9928	6864	6191
FOXJ3	4090	5791	5265
RIMKLA	47	302	269
ZMYND12	411	1253	1321
PPCS	1337	2843	1629
CCDC30	5744	12406	7943
PPIH	2148	2287	4562
YBX1	463	459	244
CLDN19	53	84	127
P3H1	614	720	644
C1orf50	3136	8356	9627
RP5-994D16.12	60	40	36
RP5-994D16.11	2741	3032	1705
SVBP	3900	7270	7615
ERMAP	1185	1749	1034
ZNF691	558	549	911
SLC2A1	595	3146	1985
FAM183A	3562	3660	3108
EBNA1BP2	371	341	721
CFAP57	1186	1173	1316
TMEM125	2423	4619	9565
C1orf210	2083	1877	1174
TIE1	3887	7955	9174
MPL	1056	1005	1231
CDC20	2470	2434	4533
ELOVL1	4908	5101	5948
MED8	3895	3104	3454
SZT2	4012	7128	7636
HYI	9114	17342	9247
PTPRF	5379	1623	8512
KDM4A	2776	5678	3159
ST3GAL3	179	201	251
ARTN	110	141	163
IPO13	11	15	8
DPH2	3987	2192	5705
ATP6V0B	1855	1906	1890
B4GALT2	4892	1897	8405
CCDC24	998	814	698
SLC6A9	1421	713	1454
KLF17	1247	503	470
KLF18	260	371	110
DMAP1	5621	4018	2909
ERI3	158	118	135
RNF220	1813	1764	1504
TMEM53	5520	3533	4172
C1orf228	461	612	378
KIF2C	640	1034	684
RPS8	2321	686	2671
BEST4	5577	2264	4246
PLK3	2151	1270	2057
TCTEX1D4	4769	2730	10001
BTBD19	2726	8026	9019
PTCH2	4227	3556	5323
EIF2B3	6425	8931	8589
HECTD3	3272	1763	5670
UROD	1066	719	1008
ZSWIM5	5342	937	3996
HPDL	2892	8012	2785
MUTYH	1390	870	1269
TOE1	2928	1321	2757
TESK2	2778	9195	7040
CCDC163P	4701	6695	5897
MMACHC	5299	2747	2627
PRDX1	105	132	113
AKR1A1	5634	8034	3671
NASP	7125	9947	8443
CCDC17	3120	1417	4287
GPBP1L1	234	264	191
TMEM69	6234	5540	7902
IPP	1032	1990	1439
MAST2	627	2137	1169
PIK3R3	4244	2072	5133
TSPAN1	1280	888	662
RP11-322N21.2	2906	1253	1731
POMGNT1	6615	2451	7320
LURAP1	12458	9923	6655
RAD54L	4320	2372	2744
LRRC41	4432	5125	3795
UQCRH	4636	4965	6846
NSUN4	618	775	514
FAAH	5482	3772	3207
DMBX1	225	378	434
RP11-49P4.7	438	907	704
KNCN	315	768	798
MKNK1	1134	1149	975
MOB3C	1213	743	582
ATPAF1	2255	2749	1610
TEX38	148	258	257
EFCAB14	4410	2030	1973
CYP4B1	1304	1503	1460
CYP4A11	7053	6139	8104
CYP4X1	1467	366	937
CYP4Z1	144	357	478
CYP4A22	783	1306	381
PDZK1IP1	8431	10556	16139
TAL1	3478	3466	6204
STIL	515	501	564
CMPK1	858	1281	1107
FOXE3	4579	1579	2689
FOXD2	1389	3434	1784
TRABD2B	467	540	470
AL356289.1	4769	3618	3031
SLC5A9	2329	2081	3111
SPATA6	2027	784	1828
AGBL4	295	657	626
BEND5	4519	9565	4862
ELAVL4	7278	7670	5117
DMRTA2	925	2010	1885
FAF1	10708	15000	11770
CDKN2C	1835	1879	1097
C1orf185	26	48	19
RNF11	1525	2499	1350
TTC39A	3576	3193	4971
EPS15	355	692	780
OSBPL9	658	345	374
NRDC	185	788	225
RAB3B	3012	1067	844
TXNDC12	54	101	179
KTI12	2656	2559	3291
BTF3L4	675	709	549
ZFYVE9	93	93	72
CC2D1B	861	1050	612
ORC1	673	668	837
PRPF38A	4080	2684	2676
ZCCHC11	2627	1713	1281
GPX7	406	1319	1129
FAM159A	914	1278	1035
COA7	5528	2892	3090
ZYG11B	16334	6207	10110
ZYG11A	6178	5461	9304
ECHDC2	1190	586	687
SCP2	323	454	469
AL445183.1	2886	1581	2822
PODN	2589	3184	1271
SLC1A7	1613	2892	1233
CPT2	1651	866	1539
C1orf123	76	26	57
MAGOH	8313	4458	8214
LRP8	9527	10164	15206
DMRTB1	775	2095	2281
GLIS1	555	724	556
NDC1	926	920	372
YIPF1	8089	8988	11888
DIO1	2397	1185	1717
HSPB11	9487	5170	4684
LRRC42	5163	6115	2962
LDLRAD1	511	429	368
TMEM59	71	66	121
TCEANC2	142	527	685
RP11-446E24.4	1501	1128	1666
CDCP2	399	1476	1021
CYB5RL	4662	6024	8438
MRPL37	302	289	371
SSBP3	5373	7014	4901
ACOT11	2891	7022	2845
FAM151A	1785	2238	1277
MROH7	368	1026	948
MROH7-TTC4	336	1173	340
TTC4	741	461	299
PARS2	1991	2318	2996
TTC22	8509	3461	5687
LEXM	752	967	1728
DHCR24	11520	5656	4500
TMEM61	1915	1018	1646
BSND	373	520	784
PCSK9	717	504	139
USP24	3493	2095	2946
PLPP3	436	550	862
PRKAA2	4968	2547	3141
C1orf168	11369	11242	6099
C8A	1837	2003	1157
C8B	1834	3602	3243
DAB1	1925	2164	2406
OMA1	9223	5810	6562
TACSTD2	2331	1896	3198
MYSM1	5442	3790	4175
JUN	1478	630	533
FGGY	3177	2458	1994
HOOK1	4187	1682	2358
CYP2J2	3591	2933	2479
C1orf87	411	441	359
NFIA	1701	3936	1737
TM2D1	13055	18323	22711
PATJ	30688	25160	21701
L1TD1	3418	1881	3290
KANK4	283	189	311
USP1	2594	1598	2702
DOCK7	970	1912	2528
ANGPTL3	1953	1156	1230
ATG4C	4117	3373	3542
FOXD3	197	226	273
ALG6	4827	6609	7827
ITGB3BP	1490	1443	2611
EFCAB7	1357	1810	678
PGM1	287	220	170
ROR1	3720	2313	4406
UBE2U	270	181	183
CACHD1	10286	6844	6172
RAVER2	253	155	133
JAK1	2156	5711	15866
AK4	760	562	840
DNAJC6	2273	2441	1918
LEPROT	3789	3589	3359
LEPR	5256	2649	3853
PDE4B	3788	4134	3246
SGIP1	2795	1513	2146
TCTEX1D1	3719	2344	4207
INSL5	1519	1906	1478
WDR78	2102	1865	5674
MIER1	7618	1562	2127
SLC35D1	1751	1817	453
C1orf141	9053	8694	5300
IL23R	165	134	164
IL12RB2	1088	1160	1920
SERBP1	6359	2367	2421
GADD45A	8141	3174	4048
GNG12	1494	673	821
DIRAS3	4359	2386	5233
WLS	460	1394	1261
RPE65	22501	18764	26497
DEPDC1	404	921	574
LRRC7	1221	1844	2311
LRRC40	90	152	166
SRSF11	273	1103	821
ANKRD13C	2485	2252	6801
HHLA3	634	919	731
AL158839.1	3006	2462	2974
CTH	354	240	179
PTGER3	3281	4299	4141
ZRANB2	3561	2793	6419
NEGR1	8133	8338	4661
LRRIQ3	2597	4552	5217
FPGT	1023	1387	1416
FPGT-TNNI3K	900	746	1926
TNNI3K	5338	7904	7844
LRRC53	4123	8310	1140
ERICH3	7596	7771	9991
CRYZ	1769	7418	4483
TYW3	2031	5413	5437
LHX8	12901	6611	10741
SLC44A5	189	314	131
ACADM	410	581	180
RABGGTB	884	1000	1547
MSH4	4001	6427	4512
ASB17	1235	2787	3705
ST6GALNAC3	1982	995	1233
ST6GALNAC5	793	1661	1589
PIGK	9263	6224	4336
AK5	1597	1644	1049
ZZZ3	1573	1090	1991
USP33	4851	2449	1815
FAM73A	2361	1141	781
NEXN	2515	3050	2977
FUBP1	4477	1814	3402
DNAJB4	2149	2332	1254
GIPC2	6209	4803	4079
PTGFR	30	13	25
IFI44L	170	185	321
IFI44	2449	2739	3078
ADGRL4	864	825	1232
ADGRL2	969	1220	1122
TTLL7	941	652	934
PRKACB	16	31	10
SAMD13	14191	10120	6134
DNASE2B	1358	703	780
RPF1	4649	3318	3547
GNG5	2790	4195	1722
CTBS	2937	6304	4375
SSX2IP	1061	2188	1035
LPAR3	408	264	481
MCOLN2	532	594	900
WDR63	6723	4288	4103
MCOLN3	156	256	323
SYDE2	6539	7588	2276
C1orf52	81	185	358
BCL10	814	441	1039
DDAH1	1183	820	939
CYR61	2038	1384	1090
ZNHIT6	3168	1516	2987
COL24A1	5066	5864	4123
ODF2L	1802	2192	1063
CLCA2	195	241	157
CLCA1	3794	7303	2107
CLCA4	1555	7687	4819
SH3GLB1	1910	1275	2359
SEP15	2678	3313	1842
HS2ST1	210	254	217
RP5-1052I5.2	1963	1713	1406
LMO4	1620	2795	3002
PKN2	586	512	475
GTF2B	5210	3155	5541
KYAT3	5380	6532	5837
RBMXL1	1600	1909	4139
GBP3	5566	7119	4804
GBP1	3993	3924	4055
GBP2	1349	2035	1153
GBP7	4722	3164	5155
GBP4	604	915	693
GBP5	4874	8733	4588
GBP6	6158	4159	1412
LRRC8B	3998	5022	6565
LRRC8C	495	530	353
RP11-302M6.4	1341	1417	634
LRRC8D	7717	11023	20423
ZNF326	245	131	221
BARHL2	6211	2902	5126
ZNF644	2813	1704	1389
HFM1	1832	2396	2716
CDC7	595	479	815
TGFBR3	3937	7863	6302
BRDT	15773	5018	10473
EPHX4	1807	1003	983
SETSIP	3801	3950	2613
BTBD8	728	1435	2042
KIAA1107	1263	650	1363
C1orf146	240	197	469
GLMN	2988	5658	5016
RPAP2	5104	3571	6864
GFI1	4519	5856	8290
EVI5	967	2114	2982
RPL5	99	93	31
FAM69A	222	149	329
MTF2	6117	7687	7298
TMED5	2522	6473	3269
CCDC18	9049	3833	10590
DR1	2403	3893	4738
FNBP1L	588	267	468
BCAR3	3041	5029	4343
DNTTIP2	1252	569	514
GCLM	2799	2549	1206
ABCA4	3180	7406	7523
ARHGAP29	2335	4931	5629
