#gene	sample7	sample8	sample9
PEX14	4138	2402	1719
CASZ1	11650	1885	5322
C1orf127	1799	4016	5478
TARDBP	4793	5303	5173
RP4-635E18.9	6887	5565	8662
MASP2	8845	5513	4245
SRM	946	1136	1105
EXOSC10	1936	2539	1156
MTOR	9138	5104	10363
ANGPTL7	1910	1780	308
UBIAD1	4172	4342	12142
DISP3	290	148	179
FBXO2	2253	2397	2145
FBXO44	1419	1986	1470
FBXO6	2490	2638	3417
MAD2L2	2742	2009	1476
DRAXIN	143	91	188
AGTRAP	7303	11131	6669
C1orf167	2380	1908	1794
MTHFR	4927	4560	3018
CLCN6	9140	3514	4288
NPPA	4953	6618	4604
NPPB	4520	1343	3705
KIAA2013	2262	2128	840
PLOD1	10741	6663	6029
MFN2	183	362	338
MIIP	6898	7009	5646
TNFRSF8	2541	813	1653
TNFRSF1B	911	1197	1962
VPS13D	4679	4533	3782
DHRS3	5866	4651	19430
AADACL4	112	281	213
AADACL3	9559	5141	5283
C1orf158	1666	488	924
PRAMEF12	4067	2057	2053
PRAMEF1	4663	3588	3905
PRAMEF11	3860	3077	2665
HNRNPCL1	2597	758	2807
PRAMEF2	4255	1976	2458
PRAMEF4	1549	2284	3193
PRAMEF10	8397	13287	7308
PRAMEF7	13390	7674	5254
PRAMEF6	1052	1375	2047
PRAMEF27	6080	1746	2678
PRAMEF25	7142	7033	4764
HNRNPCL3	245	353	280
HNRNPCL2	599	891	290
PRAMEF26	32	20	34
HNRNPCL4	4602	2581	4913
PRAMEF9	8215	4132	3125
PRAMEF18	1933	1265	499
PRAMEF5	336	221	747
PRAMEF8	7675	7124	5279
PRAMEF15	1311	423	1035
PRAMEF14	1807	1976	404
PRAMEF19	993	1571	1134
PRAMEF17	2014	3009	1987
PRAMEF20	351	789	726
LRRC38	1254	1072	910
PDPN	783	306	737
PRDM2	753	403	510
KAZN	834	636	538
TMEM51	1018	693	598
FHAD1	965	1288	609
EFHD2	499	1128	756
CTRC	8007	4078	3721
CELA2A	3861	4522	5558
CELA2B	5883	7998	7182
CASP9	2864	1575	2437
DNAJC16	2187	1574	3576
AGMAT	1625	867	2183
DDI2	1251	1750	1029
RSC1A1	3069	1930	1800
PLEKHM2	109	93	73
SLC25A34	6946	8640	7192
TMEM82	1603	1448	1359
FBLIM1	1186	1814	474
UQCRHL	3365	1554	2631
SPEN	1873	666	248
ZBTB17	1556	2004	1528
C1orf64	6996	1584	4671
HSPB7	158	239	328
CLCNKA	4413	2037	2049
CLCNKB	5286	9799	5123
FAM131C	4214	2888	1607
EPHA2	4414	5758	3202
ARHGEF19	2641	2514	2918
RSG1	1409	6873	3359
FBXO42	1300	1481	940
SZRD1	3133	3343	3991
SPATA21	1862	2421	1710
NECAP2	1917	2574	2962
FAM231B	178	246	217
NBPF1	290	373	385
FAM231A	3612	1030	900
FAM231C	209	236	227
CROCC	7520	6469	5402
MFAP2	3661	4608	1920
ATP13A2	2366	3388	4049
SDHB	1904	5949	5180
PADI2	1275	1454	1656
PADI1	2825	2603	1548
PADI3	689	237	629
PADI4	685	599	416
AC004824.1	1952	2811	2515
PADI6	20	7	17
RCC2	808	2230	1642
ARHGEF10L	32	37	26
ACTL8	10550	8381	7047
IGSF21	5401	3351	9260
KLHDC7A	6097	5040	2212
PAX7	335	805	403
TAS1R2	815	1170	1178
RP13-279N23.2	755	1447	300
ALDH4A1	277	445	340
IFFO2	6720	2735	4851
UBR4	5746	6374	3427
EMC1	6018	5540	2664
MRTO4	843	1190	1670
AKR7A3	2463	1197	1207
AKR7A2	1314	2303	2647
PQLC2	2269	2204	1897
CAPZB	503	159	468
MINOS1	2496	2621	2561
MINOS1-NBL1	751	1488	882
NBL1	760	448	309
HTR6	323	563	668
TMCO4	1312	2626	2265
RNF186	616	646	621
OTUD3	1109	1454	1512
PLA2G2E	5206	2445	2700
PLA2G2A	5225	5014	20951
PLA2G5	1549	1565	366
PLA2G2D	11945	11845	4366
PLA2G2F	1457	977	3633
PLA2G2C	81	18	36
UBXN10	4998	6439	5069
VWA5B1	3775	7996	1254
CAMK2N1	154	317	109
MUL1	1968	1370	1478
FAM43B	1289	620	1141
CDA	2944	2544	1683
PINK1	2850	2245	1775
DDOST	560	906	1110
KIF17	4416	4419	9856
SH2D5	2615	4965	4684
HP1BP3	3625	2014	1737
EIF4G3	1395	3055	1620
ECE1	3393	2282	1414
NBPF3	14	24	27
ALPL	1452	2700	2364
RAP1GAP	25	80	46
USP48	2053	5580	3007
LDLRAD2	6167	4842	2767
HSPG2	2854	5018	5166
CELA3B	455	824	983
CELA3A	10046	5739	8599
CDC42	3750	1579	2028
WNT4	1765	9189	4962
ZBTB40	1067	979	561
EPHA8	789	320	533
C1QA	1528	2107	1222
C1QC	4144	16578	20304
C1QB	409	408	484
EPHB2	679	507	488
LACTBL1	5622	6905	3741
C1orf234	169	688	398
KDM1A	8843	7080	5682
LUZP1	6694	5059	6471
HTR1D	3384	3776	1158
HNRNPR	4439	2144	1571
ZNF436	531	987	627
TCEA3	1968	3699	6084
ASAP3	151	320	268
E2F2	9358	4322	4802
ID3	115	730	97
MDS2	4366	1837	4230
RPL11	1241	1909	4239
TCEB3	1185	1116	1456
PITHD1	7910	2668	3104
LYPLA2	2666	2767	2372
GALE	6085	3958	5840
HMGCL	3267	3005	2793
FUCA1	6114	3920	3552
CNR2	1810	1129	1468
PNRC2	395	592	336
SRSF10	1616	1845	3207
MYOM3	1974	1095	351
IL22RA1	4195	8117	4435
IFNLR1	609	1351	838
GRHL3	2116	2087	2052
STPG1	9	22	9
NIPAL3	2015	2050	1061
RCAN3	898	1038	938
NCMAP	622	617	539
SRRM1	467	812	777
CLIC4	383	789	479
RUNX3	9661	6141	1702
SYF2	4894	2095	4651
RSRP1	928	937	768
RHD	147	111	271
TMEM50A	1431	2471	2423
RHCE	9409	5643	5925
TMEM57	5824	2795	4656
LDLRAP1	2590	2848	3229
MAN1C1	1508	1057	733
SEPN1	1617	1717	1317
RP1-317E23.6	6279	2917	8087
MTFR1L	428	697	503
AUNIP	365	764	466
PAQR7	6862	5377	5695
STMN1	3715	2654	2505
PAFAH2	1566	1044	660
EXTL1	10796	10348	13807
SLC30A2	2806	2008	11433
TRIM63	2407	7570	4619
PDIK1L	802	701	660
FAM110D	1281	747	1224
RP11-96L14.8	8698	5282	5792
RP11-96L14.7	249	259	176
ZNF593	2060	2159	1687
CNKSR1	1975	1239	2473
CATSPER4	6996	7676	4093
CEP85	66	140	87
SH3BGRL3	5919	2499	4264
UBXN11	19150	9797	14566
CD52	1685	1581	1595
AIM1L	250	245	444
ZNF683	1153	1387	1639
LIN28A	1361	1262	559
DHDDS	204	165	216
HMGN2	1165	2089	1205
RPS6KA1	1596	959	2699
ARID1A	2358	1317	3920
PIGV	248	163	221
ZDHHC18	53	55	87
SFN	88	148	60
GPN2	6881	3538	8094
GPATCH3	2489	2779	4072
NUDC	3929	3446	3521
NR0B2	2759	6448	2562
KDF1	9479	11580	5274
TRNP1	7468	12845	9392
FAM46B	90	338	241
AL137860.1	3036	2455	2885
SLC9A1	7638	2823	4482
WDTC1	658	1834	928
TMEM222	6482	2662	3342
SYTL1	560	477	533
MAP3K6	16	11	3
FCN3	952	1998	1296
CD164L2	803	1204	592
GPR3	3742	4335	2889
WASF2	4765	2126	3975
AHDC1	60	47	22
FGR	304	516	195
IFI6	298	358	630
FAM76A	525	463	452
STX12	54	28	40
PPP1R8	656	2147	1453
AL109927.1	28	56	119
THEMIS2	775	1140	671
RPA2	2311	1012	1599
SMPDL3B	1949	3288	7585
XKR8	595	671	1727
EYA3	21	41	18
PTAFR	1295	2349	2460
DNAJC8	3129	6599	4781
ATPIF1	892	544	1381
SESN2	1772	2127	3635
MED18	576	760	853
PHACTR4	581	461	658
RCC1	252	76	39
TRNAU1AP	2110	1343	1464
TAF12	1076	1559	1112
RAB42	11296	5642	4589
GMEB1	2207	2894	2664
YTHDF2	973	287	914
OPRD1	636	1635	901
EPB41	1909	1859	4885
TMEM200B	1	1	2
SRSF4	5159	3952	3209
MECR	16161	9585	14090
PTPRU	203	210	135
MATN1	651	616	178
LAPTM5	1003	873	1206
SDC3	3342	3168	1982
PUM1	3391	937	2011
NKAIN1	17035	13281	13499
SNRNP40	1208	456	548
ZCCHC17	5778	6186	4443
FABP3	5359	4854	6391
SERINC2	7165	16740	12235
TINAGL1	3691	2822	1988
HCRTR1	5387	8623	4423
PEF1	441	856	527
COL16A1	2433	2630	1541
ADGRB2	4928	2509	5488
SPOCD1	1555	1623	1947
PTP4A2	3867	6407	5070
KHDRBS1	1486	1407	1611
TMEM39B	1744	2548	1457
KPNA6	1054	1140	951
TXLNA	591	2447	2252
CCDC28B	313	129	247
IQCC	1468	2971	2259
DCDC2B	2663	3200	2373
TMEM234	2091	3413	2312
EIF3I	56	146	57
FAM167B	606	1173	563
LCK	10056	3452	3402
HDAC1	555	327	434
MARCKSL1	2227	1410	2081
TSSK3	3180	1981	2970
FAM229A	4947	2052	3223
BSDC1	10724	7548	6383
RP1-27O5.3	1561	1410	3557
ZBTB8B	1303	1248	1914
ZBTB8A	2406	1509	3104
ZBTB8OS	3694	1597	3118
RBBP4	444	288	449
SYNC	5181	5497	3320
KIAA1522	740	1441	2272
YARS	910	1275	411
S100PBP	86	35	81
FNDC5	596	348	185
HPCA	1242	960	854
TMEM54	211	881	463
RNF19B	722	2190	1290
AK2	6658	4230	6259
AZIN2	3959	1644	1052
TRIM62	1125	987	848
ZNF362	371	603	1710
A3GALT2	299	183	645
PHC2	2333	1905	1863
ZSCAN20	1989	3425	2384
CSMD2	2105	4059	1950
HMGB4	161	200	148
C1orf94	7917	4224	3908
SMIM12	3590	1439	2518
GJB5	145	143	251
GJB4	1130	839	1062
GJB3	2764	732	1104
GJA4	1039	833	1150
DLGAP3	1996	2101	1890
RP11-244H3.4	137	94	85
TMEM35B	20077	4093	8699
ZMYM6	2868	8311	4318
ZMYM1	1743	701	797
SFPQ	3668	2971	5432
ZMYM4	420	584	556
KIAA0319L	7633	8036	4835
NCDN	8238	12259	23754
TFAP2E	39	102	189
PSMB2	370	281	532
C1orf216	1817	1998	4767
CLSPN	860	979	887
AGO4	4755	3538	3530
AGO1	275	455	435
AGO3	1096	427	829
TEKT2	1872	1423	2848
ADPRHL2	4949	4363	5223
COL8A2	143	155	269
TRAPPC3	2992	1780	1005
MAP7D1	3577	3049	6779
THRAP3	865	790	1221
SH3D21	861	569	414
EVA1B	1057	1693	2710
STK40	9227	1855	4846
LSM10	2894	2231	1203
OSCP1	29	68	49
MRPS15	3907	4191	9859
CSF3R	2320	4646	4543
GRIK3	1307	2666	465
ZC3H12A	2517	3155	10015
MEAF6	610	466	505
SNIP1	2315	1736	1922
DNALI1	2071	4571	2374
GNL2	840	1864	1336
RSPO1	397	407	920
C1orf109	2199	2071	1760
CDCA8	2862	1602	1353
EPHA10	443	360	432
MANEAL	150	52	87
YRDC	2080	1731	1128
C1orf122	3423	3368	3254
MTF1	3219	2193	1550
INPP5B	216	141	153
SF3A3	844	1131	938
FHL3	2181	2738	3281
UTP11	372	2143	1839
POU3F1	2755	3227	6047
RRAGC	3664	2577	2382
MYCBP	2374	6868	3372
RP5-864K19.6	1540	1727	1423
GJA9	12730	12999	11444
RHBDL2	113	70	148
AKIRIN1	21661	4354	13849
NDUFS5	221	584	668
MACF1	594	569	266
BMP8A	1637	1445	2009
PABPC4	3933	9450	9167
HEYL	698	954	1016
NT5C1A	906	648	1264
HPCAL4	7133	1968	2809
PPIE	550	1143	559
BMP8B	72	66	66
OXCT2	6200	7117	6166
TRIT1	5931	7521	4473
MYCL	660	767	781
MFSD2A	680	1731	599
CAP1	5708	7476	6661
PPT1	4396	2415	3527
RLF	733	840	746
TMCO2	5631	6418	6790
ZMPSTE24	6381	8495	6448
COL9A2	1581	671	1009
SMAP2	2317	4360	3400
ZFP69B	169	168	252
ZFP69	2419	2262	1488
EXO5	2580	4923	9225
ZNF684	7105	4808	8214
RIMS3	10359	7923	5547
NFYC	1131	2367	1089
KCNQ4	741	568	958
CITED4	1288	1151	2288
CTPS1	3296	8165	2134
SLFNL1	55	27	64
SCMH1	319	238	485
FOXO6	2338	2075	3016
EDN2	997	1070	1536
HIVEP3	3480	2983	7999
GUCA2B	642	740	2366
GUCA2A	4018	4681	7064
FOXJ3	4041	3287	2612
RIMKLA	233	245	261
ZMYND12	360	824	780
PPCS	1283	1842	1207
CCDC30	8509	11286	9221
PPIH	1805	3297	1780
YBX1	248	592	337
CLDN19	250	100	156
P3H1	531	494	540
C1orf50	10479	5993	5475
RP5-994D16.12	28	52	32
RP5-994D16.11	3051	1482	3972
SVBP	17490	14475	4211
ERMAP	1804	1274	2336
ZNF691	1099	805	811
SLC2A1	2309	2792	2449
FAM183A	6519	3488	3231
EBNA1BP2	516	658	525
CFAP57	469	1409	809
TMEM125	4016	3468	2818
C1orf210	3006	2087	2293
TIE1	7855	3787	12325
MPL	1182	1397	824
CDC20	5778	7344	3538
ELOVL1	5196	3806	4534
MED8	5489	3439	3809
SZT2	4552	8276	4257
HYI	13244	9853	14081
PTPRF	3526	2573	3535
KDM4A	3163	5539	1746
ST3GAL3	125	193	117
ARTN	62	70	213
IPO13	10	11	3
DPH2	2113	4532	2652
ATP6V0B	1999	733	1226
B4GALT2	5438	6508	1312
CCDC24	403	2837	1110
SLC6A9	1073	1244	572
KLF17	787	338	660
KLF18	152	238	303
DMAP1	1444	2469	2164
ERI3	179	132	207
RNF220	2031	2410	1402
TMEM53	3258	3590	5745
C1orf228	683	869	320
KIF2C	1172	496	1132
RPS8	2769	2878	2585
BEST4	6220	10495	2696
PLK3	1176	3460	2197
TCTEX1D4	5030	4771	1983
BTBD19	7282	6132	12703
PTCH2	4298	3221	3172
EIF2B3	8633	6852	7372
HECTD3	7731	2985	6995
UROD	476	720	652
ZSWIM5	2642	4643	2237
HPDL	5879	2697	2749
MUTYH	1491	2533	946
TOE1	2635	1404	2412
TESK2	5423	4774	1781
CCDC163P	6224	4780	3106
MMACHC	3061	1987	2325
PRDX1	134	112	114
AKR1A1	12177	16820	6717
NASP	6458	18301	10889
CCDC17	3717	4266	3350
GPBP1L1	319	474	194
TMEM69	3888	5840	7092
IPP	3621	1312	1335
MAST2	1514	1019	1387
PIK3R3	5238	6675	3344
TSPAN1	868	877	1357
RP11-322N21.2	3427	1207	2247
POMGNT1	6689	5423	8478
LURAP1	10436	6854	7272
RAD54L	4425	1322	3196
LRRC41	10197	3067	4144
UQCRH	8928	5119	4698
NSUN4	1009	571	1013
FAAH	5710	6394	7241
DMBX1	210	517	301
RP11-49P4.7	818	543	562
KNCN	481	457	186
MKNK1	969	960	914
MOB3C	1636	1114	1167
ATPAF1	2710	3062	768
TEX38	107	340	168
EFCAB14	5726	3286	2818
CYP4B1	1614	813	681
CYP4A11	11005	8644	6774
CYP4X1	1016	363	818
CYP4Z1	228	369	315
CYP4A22	858	741	1466
PDZK1IP1	8186	13633	31529
TAL1	4058	4839	3559
STIL	392	868	237
CMPK1	1898	1506	1281
FOXE3	3429	5207	1145
FOXD2	2763	3079	3466
TRABD2B	499	403	738
AL356289.1	2004	4886	2341
SLC5A9	2966	2228	3393
SPATA6	686	660	1193
AGBL4	561	573	803
BEND5	4704	6409	13408
ELAVL4	11387	9589	5306
DMRTA2	1493	1315	1987
FAF1	6008	6223	20395
CDKN2C	1587	1395	1017
C1orf185	32	34	28
RNF11	1677	2990	2129
TTC39A	3409	3726	2534
EPS15	423	1441	646
OSBPL9	447	242	303
NRDC	630	838	267
RAB3B	1359	2223	2307
TXNDC12	62	75	228
KTI12	586	2715	3374
BTF3L4	1654	1473	933
ZFYVE9	91	70	170
CC2D1B	444	594	2034
ORC1	756	519	359
PRPF38A	2733	4725	2321
ZCCHC11	1561	1058	2128
GPX7	958	755	1077
FAM159A	1632	957	939
COA7	4877	5111	3837
ZYG11B	7403	6705	4956
ZYG11A	7445	1836	6439
ECHDC2	483	699	605
SCP2	460	488	607
AL445183.1	2999	1885	2632
PODN	1934	2911	2093
SLC1A7	2479	2645	2023
CPT2	2303	3046	5043
C1orf123	58	31	76
MAGOH	11713	3135	3968
LRP8	9316	12808	14955
DMRTB1	2699	1524	1506
GLIS1	710	1336	351
NDC1	768	514	498
YIPF1	6899	10540	5024
DIO1	1482	1303	1143
HSPB11	2821	6480	7939
LRRC42	3434	2368	5622
LDLRAD1	266	383	508
TMEM59	55	65	49
TCEANC2	435	302	437
RP11-446E24.4	1289	2467	1876
CDCP2	586	2223	441
CYB5RL	9593	6424	10536
MRPL37	160	185	159
SSBP3	2747	2762	7455
ACOT11	4123	4957	6706
FAM151A	1163	1518	2198
MROH7	1207	416	710
MROH7-TTC4	539	1413	596
TTC4	422	879	546
PARS2	2037	2578	1458
TTC22	2089	4153	6385
LEXM	758	1453	1388
DHCR24	2436	7171	3522
TMEM61	1249	603	1189
BSND	968	479	812
PCSK9	455	601	395
USP24	1987	2629	3095
PLPP3	1303	703	855
PRKAA2	2307	2283	4677
C1orf168	4022	6724	4565
C8A	3770	5385	2407
C8B	2144	3256	617
DAB1	607	2428	758
OMA1	6836	6080	5538
TACSTD2	3016	2413	1671
MYSM1	5022	4578	3986
JUN	583	778	904
FGGY	1675	3551	1351
HOOK1	1796	2534	2885
CYP2J2	2070	1973	1880
C1orf87	212	198	385
NFIA	2187	2610	1900
TM2D1	18066	10134	24432
PATJ	37397	10059	9628
L1TD1	1379	2156	995
KANK4	221	200	97
USP1	1923	1745	2030
DOCK7	1291	1176	1840
ANGPTL3	1728	2432	965
ATG4C	3425	4031	3640
FOXD3	251	167	101
ALG6	15841	6315	7311
ITGB3BP	1319	4078	2960
EFCAB7	1602	2488	808
PGM1	322	138	247
ROR1	1253	2836	2187
UBE2U	151	147	167
CACHD1	6922	5114	12151
RAVER2	320	219	268
JAK1	3772	1467	4992
AK4	271	944	892
DNAJC6	938	4147	1812
LEPROT	5454	4194	4705
LEPR	2247	1228	1847
PDE4B	2671	4128	6146
SGIP1	1509	3749	3204
TCTEX1D1	3099	3131	7341
INSL5	1519	2713	717
WDR78	7861	5962	1360
MIER1	1335	2430	3618
SLC35D1	1090	779	963
C1orf141	8808	7225	7046
IL23R	150	131	335
IL12RB2	841	2183	2159
SERBP1	2972	3022	3872
GADD45A	4101	4128	3256
GNG12	1246	902	1478
DIRAS3	928	3921	4375
WLS	2015	988	1000
RPE65	15152	20075	21024
DEPDC1	362	567	1010
LRRC7	1945	2000	1926
LRRC40	103	235	245
SRSF11	729	673	644
ANKRD13C	2722	2884	2082
HHLA3	899	828	2253
AL158839.1	4887	4869	1489
CTH	87	228	83
PTGER3	3727	4630	7178
ZRANB2	2441	9248	4552
NEGR1	4091	7156	9300
LRRIQ3	5714	5008	4450
FPGT	917	1125	958
FPGT-TNNI3K	1440	1780	2817
TNNI3K	9906	14563	18543
LRRC53	4000	4415	8726
ERICH3	8683	8992	18000
CRYZ	2133	710	2511
TYW3	2567	3353	6853
LHX8	13415	3944	20068
SLC44A5	332	257	180
ACADM	224	552	408
RABGGTB	1655	1476	1446
MSH4	5310	1608	6852
ASB17	3210	4822	3667
ST6GALNAC3	2769	1649	1741
ST6GALNAC5	1206	1070	920
PIGK	2295	5888	3975
AK5	2531	1535	3268
ZZZ3	2068	3728	1464
USP33	2947	4375	4397
FAM73A	2610	1575	2067
NEXN	2203	4273	3233
FUBP1	2641	1344	2702
DNAJB4	1023	2682	2595
GIPC2	3575	2796	6699
PTGFR	26	22	17
IFI44L	172	211	190
IFI44	2998	2435	1960
ADGRL4	328	843	510
ADGRL2	1893	2904	2393
TTLL7	1822	1046	481
PRKACB	22	39	47
SAMD13	6996	6978	13302
DNASE2B	567	687	982
RPF1	5977	4296	3635
GNG5	4230	654	2540
CTBS	2685	7513	5461
SSX2IP	732	1940	1724
LPAR3	473	297	481
MCOLN2	1105	270	740
WDR63	14883	6757	7918
MCOLN3	83	121	243
SYDE2	2371	3647	4780
C1orf52	149	85	149
BCL10	672	1430	1041
DDAH1	765	1014	859
CYR61	2074	1988	2050
ZNHIT6	1417	2331	3323
COL24A1	2912	5039	4558
ODF2L	1973	1246	3450
CLCA2	202	228	264
CLCA1	8338	4121	3966
CLCA4	5233	3862	4052
SH3GLB1	1073	1522	2030
SEP15	2980	2112	4460
HS2ST1	330	143	357
RP5-1052I5.2	2021	1836	3406
LMO4	2072	2147	2264
PKN2	481	302	144
GTF2B	5650	3112	2744
KYAT3	4876	2043	5398
RBMXL1	4024	1511	3949
GBP3	11438	12215	12082
GBP1	6540	4645	5552
GBP2	1205	529	563
GBP7	11514	6841	3020
GBP4	732	753	605
GBP5	1929	2338	4718
GBP6	3868	3982	2657
LRRC8B	9178	12368	7336
LRRC8C	717	441	431
RP11-302M6.4	1571	1529	2655
LRRC8D	17228	10193	6078
ZNF326	368	621	160
BARHL2	7258	3528	4395
ZNF644	2214	2733	813
HFM1	4089	3306	1910
CDC7	1078	806	595
TGFBR3	4742	4108	3409
BRDT	9166	10573	5847
EPHX4	1815	621	1188
SETSIP	4193	4041	1816
BTBD8	1033	1291	893
KIAA1107	853	470	851
C1orf146	499	504	439
GLMN	2180	4159	3420
RPAP2	3771	7813	5278
GFI1	10324	3085	4711
EVI5	1562	4765	2737
RPL5	41	89	53
FAM69A	119	190	119
MTF2	5268	3332	7407
TMED5	4460	3141	5409
CCDC18	4631	6319	7886
DR1	3065	2323	2568
FNBP1L	572	560	209
BCAR3	2813	4698	4294
DNTTIP2	631	808	598
GCLM	3759	6320	3785
ABCA4	5418	2656	3349
ARHGAP29	6065	3074	3911
