"logFC" "logCPM" "PValue" "FDR"
"LRRC32" -1.60271524904599 2.94874547377602 0.00138719749327168 0.176986961705255
"SLC35F1" -1.56167930525328 3.9890222742438 0.00140688747137419 0.177606004084249
"AL590235.1" -1.52984277592583 6.07373545915633 0.00140978256948708 0.177606004084249
"IL22" -1.53030016065756 6.07169695359186 0.00142803286175628 0.1787807890865
"HYAL2" -1.54202693060234 6.87231455161682 0.00143883623001155 0.179014462878021
"TBX19" -1.53481545994949 4.68446365378069 0.00147999010004922 0.182998035148679
"RPGRIP1" -1.53282965400323 6.1975482136794 0.00151997434957838 0.186788995069967
"APOC3" -1.52756804626806 5.90520789902297 0.00154606704319269 0.188837005745078
"LRRC2" -1.54086430319733 4.3307534693012 0.00156303363742817 0.18975228358378
"RP11-318A15.7" -1.55871483658239 2.49033875480878 0.00157536773401716 0.190097536627094
"LMTK3" -1.53967165302334 5.01694293640715 0.00161035643270843 0.193155986248997
"FAM46A" -1.55799014177203 1.77113290817845 0.00162601847777783 0.193873667430761
"C5orf42" -1.50255321905175 5.49594200662009 0.00164760566647687 0.195165244572153
"KCNQ5" -1.50913589775792 5.7330877454398 0.00165633725611632 0.195165244572153
"LRRC4" -1.53500236621208 6.17829182427459 0.00168349282071687 0.197204939718009
"RP11-546B8.6" -1.50428196991479 6.67008570507962 0.0016976179914388 0.197601578243593
"SLC38A4" -3.07845696485111 -3.39638696100934 0.0017086790530321 0.197601578243593
"AC016991.1" -1.50667294827397 3.57792752933083 0.00171939251903129 0.197601578243593
"VDAC3" -1.50454445357857 5.29333701952841 0.00173204394882878 0.197601578243593
"MYL10" -1.5282172764314 5.3525187877062 0.00175396615289299 0.197601578243593
"ZNF518A" -1.51429665531725 7.53684078157395 0.00176865144901523 0.197601578243593
"ARHGEF19" 1.51295981459667 5.95944717388191 0.0017861199260854 0.197601578243593
"OTOG" -1.5074124927303 5.6460941701736 0.00179046566583283 0.197601578243593
"KAZN" -1.59347783271539 3.53741367870131 0.00179173458208388 0.197601578243593
"STK25" -1.54049114964717 5.2133452802955 0.00179529828547304 0.197601578243593
"CECR6" -1.48897236111931 6.52993606435392 0.00181312025261365 0.197601578243593
"SIGLEC1" -1.51773951440507 5.6678322689512 0.00181830464313486 0.197601578243593
"ROPN1" -1.50182926477171 6.85635852561441 0.00182761728066349 0.197601578243593
"SEL1L2" 1.52890524346592 2.92928386962964 0.00183484039092884 0.197601578243593
"FGF11" -1.53472414122196 3.37798786921342 0.00183485065914374 0.197601578243593
"IGF2BP2" -1.50869909198151 5.80138450817072 0.00188188401313868 0.200565142018061
"UBE3C" -1.51363682128225 7.57311991281051 0.00188239462330366 0.200565142018061
"TPPP2" -1.48514706498437 4.98520900895708 0.00198310754034882 0.210177921379509
"NECTIN2" -1.5002593143639 3.32126514364654 0.00203418119873136 0.213758135084612
"KRIT1" -1.49105282442312 4.78683738376523 0.00203823093211327 0.213758135084612
"LAMB4" -1.69871165077588 -1.0596032080431 0.0020545009700479 0.214342234015778
"DHX16" -1.55654269220036 7.03377604156696 0.00206762077085495 0.214593324668371
"C11orf74" -1.5343789726491 1.86971930598153 0.00208391381894787 0.215169472718272
"PRKD1" -1.48084186283633 6.2849688775575 0.0021245802170197 0.216869883917808
"TMED2" -1.56104527296699 4.6926546584721 0.00215619882008322 0.216869883917808
"SSX4" -1.46260826148155 5.51079368320801 0.00215978242775158 0.216869883917808
"ASB16" -1.47236001294823 6.8334638762881 0.00216432043921947 0.216869883917808
"ZC3H12B" -1.46525239702261 6.59682130743057 0.00218393317583373 0.216869883917808
"TMEM249" -1.4924636039362 4.56569705992075 0.00219211395588473 0.216869883917808
"RHBDF1" -1.46215960760785 5.6963154653696 0.00219308060816767 0.216869883917808
"ZCCHC7" -1.48651047327373 6.29472242610504 0.00219605899717145 0.216869883917808
"MBD3" -1.48236934057606 4.91323638852188 0.00220773591801271 0.216869883917808
"C11orf42" -1.47360329758958 4.11460399044881 0.00220875716302336 0.216869883917808
"PKP2" -1.51558090433068 4.54627604314785 0.0022307619756294 0.216869883917808
"LARP1B" 1.53772415791086 2.32938298587448 0.00223564593331532 0.216869883917808
"AP000769.1" -1.47301121158491 4.95713242158738 0.00225319742969565 0.216869883917808
"APC" -1.50309045475317 2.9303969805754 0.00225498793794212 0.216869883917808
"UBA7" -1.51039832786918 2.73058637655543 0.00226278297333243 0.216869883917808
"ACOT7" -1.45948525965239 6.0055725295477 0.00227509277753448 0.217011349651396
"HEPHL1" -1.52102741892047 4.80441309377013 0.00231519438242255 0.219273392124616
"CXCL10" -1.48822956586889 8.30047240068263 0.00233557678050884 0.219273392124616
"IGF1R" -1.45835382769985 6.26143587669644 0.00234024881725028 0.219273392124616
"CBY3" -1.54106607094231 1.37920159362857 0.00236112281898172 0.219273392124616
"SLC41A3" -1.46354748827972 4.33132736405588 0.00236320465720736 0.219273392124616
"GGT1" -1.44323695320615 5.498955881021 0.00236448767904333 0.219273392124616
"KRTCAP2" -1.46720225328589 5.17050460995105 0.00240317044211985 0.220649081885713
"CKAP2L" -1.51139354871587 4.34065953771084 0.00240657135837292 0.220649081885713
"RP11-382A20.3" -1.46773478701642 5.04713209514971 0.00242742510367566 0.220649081885713
"MED23" -1.45657080224159 5.1721292338019 0.00243000267519848 0.220649081885713
"TMEM262" -1.44859682880273 5.14139853883065 0.00244558646042644 0.220649081885713
"OR5T3" -1.45512332815256 4.8840206909751 0.00245822943908689 0.220649081885713
"DRAXIN" -1.51174117829471 1.36982634579145 0.0024738350461157 0.220649081885713
"FAM124A" -1.69727392908028 -1.29708625076564 0.0024801735302387 0.220649081885713
"GCNT7" -1.44242647513798 5.34303680106589 0.00248163225511568 0.220649081885713
"SLC16A11" -1.48015826781016 3.6367447445664 0.00249009860506104 0.220649081885713
"STX16-NPEPL1" -1.48339591612661 4.98026309930501 0.00250605923216589 0.220649081885713
"MAP2K1" -1.4517911267168 4.73763566421789 0.00251150669811505 0.220649081885713
"EDDM3B" -1.48336812022534 6.44294430120121 0.00255814073259819 0.223764703120849
"KIF25" -1.46396889928399 4.58580416995243 0.00262022403874112 0.228198729217493
"C2CD2L" -1.44807827355166 6.16030042460777 0.00267510692210527 0.230744866027485
"AC007906.1" -1.44452082239621 4.43914416605894 0.00268096663231656 0.230744866027485
"LRRIQ4" -1.46454293017007 4.78952790411297 0.00268939325725175 0.230744866027485
"IFNLR1" -1.47121303717787 3.80678699297309 0.0027205376375468 0.230744866027485
"FAM221B" -1.46128549992483 6.37267404185248 0.00276514935315827 0.230744866027485
"PLAC8L1" -1.49737958667416 2.14672335314145 0.0027752729219388 0.230744866027485
"ZNF85" -1.45572911543201 5.30541525787553 0.00277833713652184 0.230744866027485
"SLAMF1" -1.4562651541716 4.54357536613556 0.00278104427493541 0.230744866027485
"ZNF140" -1.46462145349674 5.62856184773932 0.00278487024921344 0.230744866027485
"ABAT" -1.44619396466097 6.26995290367521 0.00279821036211337 0.230744866027485
"POMP" -1.47501615549462 7.28733062019967 0.00280417346789485 0.230744866027485
"PROS1" -1.48987829198013 4.40942752038664 0.00280564479214761 0.230744866027485
"PRR18" -1.45504798022444 4.30787219561235 0.0028136875609614 0.230744866027485
"CA9" -1.44370157503145 7.0243905856902 0.00282309315371138 0.230744866027485
"PLAC9" -1.45191005311041 6.94579561688094 0.00283027048136396 0.230744866027485
"NIT2" -1.42663583533717 5.0407894984897 0.00283497319872113 0.230744866027485
"SRM" -1.4452702492069 4.61372283244664 0.00284528889764809 0.230744866027485
"CASC10" -1.42784652009504 5.27578531165154 0.00286358236696923 0.231292009648229
"LETMD1" -1.46741711666299 2.83438361311101 0.00288836380971984 0.231456665294177
"SREK1" -1.44597029232278 6.8930601781669 0.00288873078346285 0.231456665294177
"SMAD7" -1.43580892286186 5.57266528705339 0.00290045780040576 0.231470399202899
"MS4A1" -1.43027457050647 7.03088944866095 0.00292122506251044 0.231813741214376
"FHIT" -1.42168315463252 5.036241495444 0.00292790557272414 0.231813741214376
"WEE2" -1.43970324211922 5.18517075383355 0.0029513070050563 0.232746577237333
"NRG4" -1.45546101984965 4.93027549122072 0.00296542018254781 0.232930340139726
"SSFA2" -1.4329128210465 6.24915052921781 0.00297689416782836 0.232930340139726
"HSD3B2" -1.48730026259518 2.20097345659117 0.0030027485716601 0.234039130890753
"TBX4" -1.64066559849266 -1.06973967664909 0.00304307822291484 0.236263177841888
"CDKL1" -1.4038311003931 5.62623433424182 0.00310721622761442 0.240311383225268
"PRPF6" -1.40518236765942 5.34783613835163 0.00314568802533743 0.242351064752054
"KHDRBS3" -1.42423654631764 6.15173142658025 0.00317008156962689 0.242933173553059
"OXLD1" -1.54257995401894 1.60808409955391 0.00317749944939851 0.242933173553059
"SESN1" -1.40788321492854 5.19890468631864 0.0032336677154203 0.244750902266396
"SMOC2" -1.44104967970182 3.52347049303895 0.0032398884244745 0.244750902266396
"RP3-461F17.3" -1.49997209489979 2.50246025208153 0.00324622236582897 0.244750902266396
"SH2B1" -1.41084369271333 5.02726376184271 0.00326313624226879 0.244750902266396
"UBE2M" -1.44583417935961 5.87576499455903 0.00327262111201712 0.244750902266396
"POP1" -1.39855661698309 5.66911316865357 0.00328999399703408 0.244750902266396
"ELF2" -1.42790987429956 2.47863982675011 0.00329831638070114 0.244750902266396
"RNF115" -1.45531688228223 5.20626222858991 0.00329902369387084 0.244750902266396
"GMPS" -1.41337544180299 5.6499133447391 0.00333279728309908 0.246344141615342
"ZFAT" -1.4411986661744 2.15804620581171 0.00335751210710602 0.247258547858238
"DENND1C" -1.47349491966742 4.61692435192176 0.00337186987789078 0.247406320600843
"ADAMTSL5" -1.39704204483072 5.48907857931011 0.00340408278782145 0.247879862234651
"NPFF" -1.44191958719619 4.21932650390485 0.00341452228969536 0.247879862234651
"MAEL" -1.44616059910328 4.50339678575319 0.00341544815419918 0.247879862234651
"MSLNL" -1.41663435211704 5.82682747414446 0.00343264205339393 0.24822835007774
"SEC31A" -1.42265251622739 2.29457678995762 0.00344802058222617 0.248443526196304
"ASB13" -1.39968514959424 4.42173604797513 0.00346845072802283 0.248890301052956
"TMEM102" -1.42838787222411 2.77498192254038 0.00348684393130802 0.248890301052956
"SUV39H1" 1.39236943294894 5.70153993603473 0.00349149690958418 0.248890301052956
"ANLN" -1.38539236993855 5.52087147047622 0.00350532062408311 0.248989636244712
"TFEC" -1.41097912986831 4.14561202441607 0.00353272817144919 0.250049745591161
"SETD7" -1.40406806013478 5.90411750237725 0.00355063047762927 0.250391597885397
"CCDC129" -1.39951416844659 5.66423921353495 0.00356633583176532 0.250391597885397
"FAM122A" -1.38958030158037 6.20717760628897 0.00357865892542224 0.250391597885397
"PFKFB1" -1.42483494337088 1.82187863367613 0.00358755871364928 0.250391597885397
"ARHGEF5" -1.42214229223115 6.11385121451358 0.00363032130921411 0.25230807739689
"BCL2L14" -1.45694666873986 4.62447549093162 0.00365156904401036 0.25230807739689
"LINGO4" -1.3956502805197 3.71273692017302 0.00366442050230875 0.25230807739689
"GOPC" -1.4619009953484 1.088838121513 0.00366540115433553 0.25230807739689
"USP17L5" -1.44380831009856 6.70557161544436 0.00369180860505558 0.253255541670782
"PRPS2" -1.40598766673778 6.79151179059085 0.00370695934733804 0.253426971626376
"C2orf70" -1.40444851140989 6.86517523255374 0.00375358045926417 0.254390357860037
"SLC2A4" -1.38961214318382 5.96582733930264 0.00377865423927868 0.254390357860037
"CRACR2A" -1.39157009319349 5.55557779995225 0.00380023224546524 0.254390357860037
"SLC6A7" -1.48973367313516 0.743281744943364 0.00382817110917426 0.254390357860037
"GRIP1" -1.41646278885646 4.43398722792763 0.00382985623056333 0.254390357860037
"SMO" -1.42912891263536 3.24383710851291 0.00383802597562589 0.254390357860037
"NUBP2" -1.43783788935221 2.9656827256899 0.00384126779490695 0.254390357860037
"EXOC3" -1.37015008015311 5.3396482003324 0.00387764913837896 0.254390357860037
"DMAP1" -1.44881109238146 5.57268254028685 0.00388642500789492 0.254390357860037
"LEPR" -1.37097909152249 5.49943639732291 0.00389303780356332 0.254390357860037
"UGT1A7" -1.39160654708074 4.65323455445171 0.00390292270427916 0.254390357860037
"LHFPL5" 1.40341377762545 4.68900745306941 0.0039071319182172 0.254390357860037
"ARID4B" -1.39526887716112 6.66684200608999 0.0039076937940852 0.254390357860037
"C10orf105" -1.39083304579136 6.81672268758144 0.00391811134798198 0.254390357860037
"FAM109B" -1.41197467341914 2.53159830939386 0.00392113382842868 0.254390357860037
"DHX40" -1.37422431052882 6.02148690591205 0.00392424844384961 0.254390357860037
"TMEM42" -1.43498430396868 2.53763128423614 0.00394278862783294 0.254767738722973
"CCDC61" -1.38144777753308 3.69546912570156 0.00396721165136341 0.255521596747461
"ZNF787" -1.39813708568505 6.80559961142289 0.00400096142920769 0.256869417911729
"TEC" -1.40531795618692 4.33475187920184 0.00406257449190766 0.25999178801087
"ZBED6CL" -1.37808179162261 4.93416798211737 0.00409695278608871 0.261356882987716
"ZNF594" -1.39276787902497 2.7586712206409 0.00411276638721514 0.261532773023195
"UROS" -1.35379865879737 5.29193478828332 0.00414787901976519 0.262930900775052
"ZBTB44" -1.36834053557844 6.95983590692989 0.00417447648567437 0.26348773889969
"TMEM64" -1.39016247935368 6.37907301333841 0.00419328403525813 0.26348773889969
"CORO7" -1.38961314822392 3.13456513192812 0.00420652007403763 0.26348773889969
"PPP6R1" -1.37049015288475 3.58114347695095 0.00420927943926419 0.26348773889969
"IGLL1" -1.42266944783278 4.79959913247387 0.00422864919393818 0.263875613718927
"GIT1" -1.5174246802165 -0.555043577565171 0.00424217593138774 0.263897596526795
"NGLY1" -1.37392518602741 4.60966879129308 0.00430628570960043 0.266040623797546
"ZBTB45" -1.42238558349251 0.818189850661016 0.00431949298492883 0.266040623797546
"POU3F4" -1.39995415850805 4.75032415258606 0.00433597924493667 0.266040623797546
"PIGL" -1.40171883683965 7.42264714773625 0.00435135056635279 0.266040623797546
"ERLIN1" -1.38295041150593 3.84735735569201 0.00435700750172328 0.266040623797546
"PXT1" -1.36623566905124 5.52835375579189 0.00436624686619419 0.266040623797546
"EYS" -1.42868193102827 4.01005511526316 0.00438020374228305 0.266040623797546
"TLX2" -1.3679464199784 5.60902049828588 0.00438287683356748 0.266040623797546
"GPR82" -1.4311102861982 5.6222687517631 0.00441268794475138 0.267040943266813
"IL1A" -1.36116823404619 4.18836585132612 0.00443741202036086 0.267728313794724
"MS4A4A" -1.36261930907551 3.55141395809564 0.00449633263958546 0.269646124302483
