#gene	sample4	sample5	sample6
IFNLR1	198	519	596
GRHL3	1535	1004	1700
STPG1	17	6	1
NIPAL3	1706	1711	762
RCAN3	425	261	990
NCMAP	539	304	710
SRRM1	783	443	464
CLIC4	309	606	240
RUNX3	2885	3726	5396
SYF2	3054	3018	2656
RSRP1	779	859	447
RHD	108	180	245
TMEM50A	884	1312	825
RHCE	4596	12006	4798
TMEM57	5359	1903	1402
LDLRAP1	4801	3478	6597
MAN1C1	796	1177	1268
SEPN1	1951	813	879
RP1-317E23.6	4036	2248	4379
MTFR1L	730	452	411
AUNIP	463	174	213
PAQR7	2172	7812	5381
STMN1	2405	1584	2995
PAFAH2	888	486	1387
EXTL1	14972	8144	9255
SLC30A2	5762	4306	2685
TRIM63	2528	5444	3743
PDIK1L	763	728	1505
FAM110D	1590	1064	1379
RP11-96L14.8	5192	4677	3001
RP11-96L14.7	209	111	213
ZNF593	2273	539	1579
CNKSR1	514	550	1363
CATSPER4	915	2517	2695
CEP85	134	97	79
SH3BGRL3	4325	3290	4427
UBXN11	16049	15131	13839
CD52	905	472	901
AIM1L	192	198	271
ZNF683	754	897	638
LIN28A	848	696	542
DHDDS	134	391	201
HMGN2	448	822	617
RPS6KA1	2177	1256	2129
ARID1A	1455	1795	1909
PIGV	351	236	284
ZDHHC18	32	61	52
SFN	29	45	25
GPN2	3568	2405	3815
GPATCH3	1208	2753	1620
NUDC	3001	5552	4171
NR0B2	1573	2621	1855
KDF1	2402	7914	8097
TRNP1	5888	5121	7501
FAM46B	229	121	75
AL137860.1	2777	2168	2853
SLC9A1	1812	2611	2144
WDTC1	2248	1481	1183
TMEM222	3401	1745	3881
SYTL1	515	748	782
MAP3K6	5	6	3
FCN3	875	2306	1920
CD164L2	525	1038	414
GPR3	3963	3185	3084
WASF2	3881	5572	4076
AHDC1	51	11	19
FGR	267	173	462
IFI6	396	405	234
FAM76A	425	355	411
STX12	13	33	36
PPP1R8	2268	934	2335
AL109927.1	27	48	55
THEMIS2	397	438	973
RPA2	1159	1381	1385
SMPDL3B	2264	3324	3579
XKR8	364	970	478
EYA3	11	23	27
PTAFR	1589	1537	584
DNAJC8	2534	1355	3437
ATPIF1	1462	1572	283
SESN2	1763	3628	2595
MED18	765	452	563
PHACTR4	460	645	479
RCC1	71	53	116
TRNAU1AP	1354	1051	1400
TAF12	1218	978	665
RAB42	14507	11703	10969
GMEB1	2250	1665	932
YTHDF2	1249	1164	576
OPRD1	655	658	523
EPB41	2930	4866	3574
TMEM200B	2	4	0
SRSF4	2396	4766	2726
MECR	10426	24221	10868
PTPRU	210	242	137
MATN1	250	197	342
LAPTM5	1290	1237	448
SDC3	2491	2514	1886
PUM1	2196	3717	818
NKAIN1	25848	10261	8526
SNRNP40	378	862	690
ZCCHC17	2785	1766	2954
FABP3	1897	3946	3565
SERINC2	9714	10368	8616
TINAGL1	3211	1912	1799
HCRTR1	2198	5412	4157
PEF1	622	467	293
COL16A1	1387	2128	2675
ADGRB2	2210	5404	4353
SPOCD1	2310	2217	1463
PTP4A2	3945	1172	3024
KHDRBS1	2058	1001	1500
TMEM39B	1610	2188	3289
KPNA6	1463	1614	1782
TXLNA	1463	917	1607
CCDC28B	479	272	273
IQCC	1679	2731	1670
DCDC2B	3137	2439	1160
TMEM234	414	3536	2440
EIF3I	46	96	66
FAM167B	769	250	240
LCK	2417	5346	2335
HDAC1	302	491	341
MARCKSL1	1783	3084	1208
TSSK3	2679	2929	6080
FAM229A	1107	1622	2422
BSDC1	7345	5373	3557
RP1-27O5.3	1548	1905	2538
ZBTB8B	1405	847	1264
ZBTB8A	1735	2934	1042
ZBTB8OS	1430	1180	3142
RBBP4	522	219	216
SYNC	5330	3278	5750
KIAA1522	602	505	960
YARS	751	464	619
S100PBP	53	53	116
FNDC5	193	706	465
HPCA	726	779	359
TMEM54	144	238	334
RNF19B	984	319	1584
AK2	1452	3231	3432
AZIN2	919	1459	2382
TRIM62	761	734	914
ZNF362	607	490	806
A3GALT2	415	214	384
PHC2	1242	1863	2255
ZSCAN20	1207	1408	2497
CSMD2	1497	715	1255
HMGB4	93	71	71
C1orf94	4392	4570	1644
SMIM12	515	1426	1599
GJB5	67	161	115
GJB4	802	663	439
GJB3	878	626	1787
GJA4	1202	666	1011
DLGAP3	2318	2535	1456
RP11-244H3.4	72	95	30
TMEM35B	6524	27905	14685
ZMYM6	2773	2672	3780
ZMYM1	759	568	788
SFPQ	3749	1856	3607
ZMYM4	751	306	542
KIAA0319L	4408	3555	3383
NCDN	5135	9427	12434
TFAP2E	66	69	118
PSMB2	443	344	235
C1orf216	1206	1895	1445
CLSPN	988	539	1100
AGO4	4751	3024	6884
AGO1	229	258	589
AGO3	780	346	935
TEKT2	1915	1707	1002
ADPRHL2	4093	5364	3939
COL8A2	231	186	303
TRAPPC3	2120	1871	2225
MAP7D1	2140	3899	3972
THRAP3	987	1156	1180
SH3D21	352	326	446
EVA1B	2168	1203	1703
STK40	4174	3793	2650
LSM10	588	785	688
OSCP1	62	71	47
MRPS15	4473	4405	3302
CSF3R	5755	1963	3090
GRIK3	988	693	985
ZC3H12A	3356	3676	2685
MEAF6	234	448	477
SNIP1	1289	1155	2841
DNALI1	1577	1520	1172
GNL2	547	1908	1238
RSPO1	168	460	711
C1orf109	2928	1349	3316
CDCA8	1541	2139	1992
EPHA10	192	257	178
MANEAL	44	117	59
YRDC	975	1951	1734
C1orf122	3714	3740	3741
MTF1	2565	1565	3125
INPP5B	265	394	195
SF3A3	687	1619	504
FHL3	4106	2367	6257
UTP11	902	761	1153
POU3F1	2037	4240	2338
RRAGC	1715	2285	2923
MYCBP	2845	3191	4273
RP5-864K19.6	473	684	1350
GJA9	4509	7054	7705
RHBDL2	42	98	83
AKIRIN1	15247	12399	15389
NDUFS5	438	400	234
MACF1	254	155	682
BMP8A	2123	2420	448
PABPC4	1995	1808	8190
HEYL	345	812	678
NT5C1A	1733	2233	1941
HPCAL4	838	2637	2942
PPIE	967	1073	664
BMP8B	25	48	54
OXCT2	6101	6082	2733
TRIT1	5593	4073	4163
MYCL	507	166	568
MFSD2A	679	630	346
CAP1	3396	5385	3436
PPT1	2709	1424	1302
RLF	1193	958	793
TMCO2	7833	2645	15419
ZMPSTE24	3719	3435	4260
COL9A2	1479	677	890
SMAP2	3150	1503	2293
ZFP69B	243	122	140
ZFP69	1460	1215	1058
EXO5	5991	3249	5945
ZNF684	7319	5904	7075
RIMS3	2695	2877	12748
NFYC	806	1100	974
KCNQ4	300	335	557
CITED4	649	801	951
CTPS1	1152	4771	3581
SLFNL1	78	40	53
SCMH1	186	286	230
FOXO6	1902	1451	1803
EDN2	958	829	320
HIVEP3	1220	5550	2623
GUCA2B	1498	1073	636
GUCA2A	3122	4103	5457
FOXJ3	6078	7067	2969
RIMKLA	241	142	258
ZMYND12	1331	927	1045
PPCS	1571	3822	2407
CCDC30	7973	9035	14139
PPIH	1076	2101	2699
YBX1	627	557	136
CLDN19	86	182	229
P3H1	511	548	211
C1orf50	5010	5692	4913
RP5-994D16.12	58	25	19
RP5-994D16.11	4383	3618	1640
SVBP	4517	2664	7042
ERMAP	926	1360	782
ZNF691	803	670	589
SLC2A1	1059	3357	607
FAM183A	1446	2141	6891
EBNA1BP2	772	343	472
CFAP57	970	298	562
TMEM125	2336	2145	6465
C1orf210	917	1158	861
TIE1	3823	8337	4962
MPL	867	843	829
CDC20	2095	2432	3828
ELOVL1	5212	3135	4786
MED8	1913	2626	6166
SZT2	4076	3701	2757
HYI	4529	9974	5703
PTPRF	1288	987	2214
KDM4A	3510	4831	3401
ST3GAL3	142	177	143
ARTN	75	78	110
IPO13	8	11	8
DPH2	1105	834	3476
ATP6V0B	760	1468	1210
B4GALT2	4268	6372	1299
CCDC24	988	592	1404
SLC6A9	626	1337	2120
KLF17	1061	594	199
KLF18	180	171	134
DMAP1	2294	1873	326
ERI3	119	126	82
RNF220	521	2177	956
TMEM53	2510	3154	3353
C1orf228	541	214	455
KIF2C	598	716	287
RPS8	1884	1591	2960
BEST4	3302	3350	1763
PLK3	3087	925	1141
TCTEX1D4	1576	7154	2725
BTBD19	3814	6681	5602
PTCH2	2015	3374	4430
EIF2B3	7076	2817	2375
HECTD3	7785	4734	5587
UROD	355	362	615
ZSWIM5	3047	992	2388
HPDL	1179	2885	1499
MUTYH	935	1196	1205
TOE1	1169	722	864
TESK2	3025	4076	3847
CCDC163P	6915	9150	2573
MMACHC	1532	1922	3484
PRDX1	135	114	38
AKR1A1	7305	4998	4788
NASP	17097	7130	18006
CCDC17	1765	4047	3695
GPBP1L1	254	253	376
TMEM69	3785	3419	5167
IPP	1159	1434	1141
MAST2	1373	604	585
PIK3R3	3943	1921	5604
TSPAN1	276	1069	832
RP11-322N21.2	1265	2909	1580
POMGNT1	4077	2621	7454
LURAP1	6344	6401	9636
RAD54L	2458	1064	1826
LRRC41	2131	2491	3193
UQCRH	7279	5297	8188
NSUN4	486	461	1203
FAAH	4630	1715	1744
DMBX1	189	232	175
RP11-49P4.7	196	527	536
KNCN	200	405	212
MKNK1	822	943	677
MOB3C	454	1133	498
ATPAF1	1257	1515	2582
TEX38	194	48	109
EFCAB14	1496	1839	2235
CYP4B1	579	1027	830
CYP4A11	10062	5913	12478
CYP4X1	736	959	1152
CYP4Z1	185	184	233
CYP4A22	815	1274	444
PDZK1IP1	13293	12937	12002
TAL1	4652	1504	2602
STIL	593	403	488
CMPK1	1848	1611	705
FOXE3	3307	2834	3290
FOXD2	2213	2313	2652
TRABD2B	333	459	453
AL356289.1	2649	2109	1926
SLC5A9	1988	1594	1836
SPATA6	1004	1516	687
AGBL4	761	306	320
BEND5	3807	13862	5732
ELAVL4	3741	9652	8434
DMRTA2	760	483	1117
FAF1	4829	6415	5128
CDKN2C	1319	643	992
C1orf185	26	25	53
RNF11	1798	2472	2296
TTC39A	3264	2173	2562
EPS15	575	454	458
OSBPL9	204	419	826
NRDC	462	309	440
RAB3B	843	1959	1291
TXNDC12	43	71	108
KTI12	664	1243	2216
BTF3L4	595	927	569
ZFYVE9	54	107	141
CC2D1B	626	166	241
ORC1	726	817	571
PRPF38A	1341	2962	1610
ZCCHC11	1117	1088	531
GPX7	1451	1631	1534
FAM159A	1148	1065	687
COA7	4266	3314	4129
ZYG11B	6918	4071	2346
ZYG11A	12349	6764	6030
ECHDC2	399	707	518
SCP2	342	275	380
AL445183.1	1180	1341	3141
PODN	2094	1527	2697
SLC1A7	1151	843	2065
CPT2	1477	2201	2313
C1orf123	39	61	111
MAGOH	5316	5541	4163
LRP8	1766	10253	8029
DMRTB1	2237	2542	810
GLIS1	478	425	421
NDC1	449	685	197
YIPF1	6372	6734	2336
DIO1	1285	1277	1436
HSPB11	2469	5636	1356
LRRC42	3905	2558	3285
LDLRAD1	305	216	137
TMEM59	41	42	61
TCEANC2	357	207	316
RP11-446E24.4	962	634	837
CDCP2	1485	923	613
CYB5RL	6693	4001	2154
MRPL37	213	156	96
SSBP3	3020	3961	2540
ACOT11	9709	6391	5163
FAM151A	1450	1647	1755
MROH7	881	787	435
MROH7-TTC4	964	947	214
TTC4	633	346	196
PARS2	1304	1480	2692
TTC22	4844	3756	2780
LEXM	1120	990	1016
DHCR24	6903	8624	4219
TMEM61	812	909	958
BSND	363	402	204
PCSK9	387	160	414
USP24	1312	1838	1220
PLPP3	769	529	610
PRKAA2	3337	2943	2515
C1orf168	9553	8027	6116
C8A	3492	2932	3037
C8B	921	1622	2643
DAB1	691	946	2385
OMA1	4290	4466	8222
TACSTD2	2151	1307	1407
MYSM1	3688	5407	2563
JUN	233	1167	836
FGGY	1874	1736	1564
HOOK1	1361	2098	2108
CYP2J2	1301	2551	1538
C1orf87	392	204	419
NFIA	1758	1298	1947
TM2D1	30271	15767	11603
PATJ	16515	12970	12241
L1TD1	2326	810	554
KANK4	96	251	60
USP1	2511	1288	2608
DOCK7	2195	2353	673
ANGPTL3	1922	1395	864
ATG4C	3267	2627	4881
FOXD3	331	133	68
ALG6	3953	13889	9631
ITGB3BP	2784	2082	2921
EFCAB7	1829	2184	2020
PGM1	232	158	483
ROR1	2058	2295	3246
UBE2U	221	145	278
CACHD1	2505	3011	4185
RAVER2	231	322	387
JAK1	5576	3612	3549
AK4	577	193	690
DNAJC6	1827	1307	2871
LEPROT	5158	7401	5510
LEPR	1521	1480	1461
PDE4B	5543	7133	6371
SGIP1	1543	1433	2170
TCTEX1D1	2877	4272	5660
INSL5	458	976	1906
WDR78	3495	2406	2819
MIER1	1630	982	1824
SLC35D1	1410	815	1229
C1orf141	4380	7982	3231
IL23R	146	211	151
IL12RB2	1195	917	1487
SERBP1	3555	3337	3547
GADD45A	7088	3673	3346
GNG12	1115	364	835
DIRAS3	2032	1813	1346
WLS	1090	1205	831
RPE65	15859	13671	21998
DEPDC1	469	529	646
LRRC7	1134	1902	947
LRRC40	231	306	106
SRSF11	748	544	284
ANKRD13C	2641	1289	3208
HHLA3	2251	1322	1052
AL158839.1	3895	2682	2247
CTH	247	156	283
PTGER3	5518	2031	3559
ZRANB2	6182	7954	4956
NEGR1	2023	3256	3774
LRRIQ3	2528	3101	1784
FPGT	1008	1564	863
FPGT-TNNI3K	2245	1272	1507
TNNI3K	4027	9567	10822
LRRC53	6534	6940	5126
ERICH3	5056	5367	2385
CRYZ	2300	2279	1239
TYW3	5113	2562	2677
LHX8	4106	9417	6286
SLC44A5	87	350	186
ACADM	364	150	522
RABGGTB	657	747	777
MSH4	4011	6463	11974
ASB17	1533	2044	1267
ST6GALNAC3	1568	465	1269
ST6GALNAC5	1878	1093	1188
PIGK	3071	3354	4401
AK5	657	844	1083
ZZZ3	985	1536	1444
USP33	1386	2121	3274
FAM73A	1341	1318	1243
NEXN	968	1146	1794
FUBP1	970	1847	1962
DNAJB4	1033	1174	1763
GIPC2	4047	4739	2454
PTGFR	4	19	13
IFI44L	85	32	74
IFI44	1506	1543	626
ADGRL4	351	285	326
ADGRL2	1142	1124	866
TTLL7	942	510	1054
PRKACB	6	12	33
SAMD13	6526	4849	7835
DNASE2B	849	845	600
RPF1	3445	980	3308
GNG5	2995	1187	2477
CTBS	2257	1980	2841
SSX2IP	1043	914	726
LPAR3	209	415	333
MCOLN2	231	287	557
WDR63	3423	4770	9611
MCOLN3	113	215	97
SYDE2	4662	9493	2534
C1orf52	92	140	97
BCL10	675	548	937
DDAH1	745	444	1365
CYR61	1149	1033	1116
ZNHIT6	3176	1867	2583
COL24A1	3267	6315	3370
ODF2L	2013	2517	1042
CLCA2	181	185	183
CLCA1	8512	2679	4406
CLCA4	1047	4221	6073
SH3GLB1	1667	1003	1557
SEP15	1270	903	2306
HS2ST1	54	193	89
RP5-1052I5.2	1211	1543	2055
LMO4	1452	743	1336
PKN2	232	259	275
GTF2B	5253	6345	1590
KYAT3	8071	6242	7217
RBMXL1	2092	1937	1220
GBP3	8502	3150	5865
GBP1	6311	4331	5330
GBP2	649	588	913
GBP7	3775	5032	2766
GBP4	559	628	164
GBP5	2527	2365	3578
GBP6	1834	2632	4108
LRRC8B	6100	4986	7396
LRRC8C	495	296	466
RP11-302M6.4	1971	2354	1447
LRRC8D	10655	14202	13914
ZNF326	150	55	188
BARHL2	2416	5351	9001
ZNF644	1655	2516	890
HFM1	1184	753	2760
CDC7	420	827	772
TGFBR3	4687	2737	3170
BRDT	6805	4618	5084
EPHX4	518	586	544
SETSIP	3326	1895	1144
BTBD8	1261	1392	615
KIAA1107	988	465	394
C1orf146	231	457	321
GLMN	5487	3064	2247
RPAP2	1811	4101	2829
GFI1	4764	10706	4744
EVI5	2964	1726	3298
RPL5	54	68	104
FAM69A	190	147	151
MTF2	3256	5600	4383
TMED5	4525	2963	1315
CCDC18	3252	3854	4274
DR1	947	2054	2072
FNBP1L	478	307	318
BCAR3	4970	4372	5180
DNTTIP2	807	1486	149
GCLM	2367	1688	1896
ABCA4	3562	3546	3928
ARHGAP29	5244	3207	3684
ABCD3	2078	2490	1312
F3	2977	1430	3212
SLC44A3	2477	1682	1770
CNN3	5253	3566	5848
ALG14	134	155	115
TMEM56	4055	7686	3916
TMEM56-RWDD3	123	170	171
RWDD3	2427	2630	967
PTBP2	3557	4652	972
DPYD	1766	2844	5196
